City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Terre-De-Bas,GP,15.8501,-61.6442,80.11,72,1,20.22,clear sky
326,Monrovia,LR,6.3005,-10.7969,78.69,85,99,6.98,overcast clouds
327,Oranjemund,NA,-28.55,16.4333,60.94,83,0,11.48,clear sky
328,La Union,PE,-5.4,-80.75,84.45,54,10,17.63,clear sky
329,Puxinana,BR,-7.1611,-35.9606,78.58,74,20,18.41,few clouds
330,Nguruka,TZ,-5.1092,31.0419,71.51,74,100,3.69,overcast clouds
331,Yashkul,RU,46.1711,45.3435,29.03,68,100,8.66,overcast clouds
332,Marsh Harbour,BS,26.5412,-77.0636,75.45,79,32,10.56,scattered clouds
333,Kavieng,PG,-2.5744,150.7967,82.83,76,60,14.25,light rain
334,Tasiilaq,GL,65.6145,-37.6368,19.78,93,100,3.87,snow
335,Ulkan,RU,57.243,107.3223,3.22,97,100,5.44,overcast clouds
336,Gbarnga,LR,6.9956,-9.4722,75.83,78,97,3.11,overcast clouds
337,Calvinia,ZA,-31.4707,19.776,64.81,31,7,3.13,clear sky
338,Oxelosund,SE,58.6706,17.1015,32.38,93,0,3.44,mist
339,Port Blair,IN,11.6667,92.75,78.84,94,40,0.0,mist
340,Ouadda,CF,8.0777,22.4007,80.22,13,22,9.28,few clouds
341,Henties Bay,NA,-22.116,14.2845,64.2,76,7,4.7,clear sky
342,Constitucion,CL,-35.3333,-72.4167,64.85,75,3,4.12,clear sky
343,North Bend,US,43.4065,-124.2243,58.24,86,100,11.5,overcast clouds
344,Vila,PT,42.0304,-8.1588,50.7,78,1,3.98,clear sky
